,School name,Department,Acceptance rate,Number applied,Number admitted,Number enrolled
0,Appalachian State University,Physics and Astronomy,100%,19,19,17
1,Southern Connecticut State University,Physics,87.5%,8,7,6
2,Bowling Green State University,Physics & Astronomy,85.71%,70,60,8
3,University of Dayton,Electro-Optics Program,81.13%,53,43,17
4,"University of Colorado, Colorado Springs",Physics,79.17%,24,19,14
5,Creighton University,Physics,76.92%,26,20,9
6,"University of Massachusetts, Dartmouth",Physics,76.19%,21,16,5
7,Eastern Michigan University,Physics and Astronomy,75%,12,9,6
8,Virginia Commonwealth University,Physics,72.73%,11,8,8
9,George Mason University,Physical Sciences,65.08%,63,41,24
10,Alabama A&M University,Physics,62.5%,8,5,4
11,San Francisco State University,Physics & Astronomy,61.54%,26,16,12
12,Illinois Institute of Technology,Physics,61.36%,88,54,14
13,University of Houston,Physics,60.53%,76,46,23
14,Florida Atlantic University,Physics,60%,20,12,10
15,Fudan University,Physics,60%,150,90,90
16,San Diego State University,Physics,58.33%,60,35,13
17,"University of Wisconsin, Milwaukee",Physics,57.75%,71,41,16
18,Northern Illinois University,Physics,57.58%,99,57,8
19,East Carolina University,Physics,56.76%,37,21,13
20,"University of Minnesota, Duluth",Physics,56%,25,14,6
21,Missouri University of Science & Technology,Physics,55.81%,43,24,24
22,Boston College,Physics,54.72%,53,29,6
23,"Montana State University, Bozeman",Physics,54.17%,96,52,19
24,"University of Tennessee, Knoxville",Physics & Astronomy,54.17%,144,78,22
25,Western Michigan University,Physics,52.94%,34,18,7
26,Michigan Technological University,Physics,52.76%,127,67,10
27,Montana Tech,Geosciences & Engineering,52.31%,65,34,26
28,George Washington University,Physics,50%,70,35,17
29,Montana Tech of the University of Montana,Materials Science PhD Program,50%,8,4,3
30,"Texas State University, San Marcos",Physics,50%,22,11,5
31,"University of Maryland, Baltimore County",Atmospheric Physics Graduate Program,50%,12,6,5
32,Oklahoma State University,Physics,48.98%,49,24,14
33,New Mexico State University,Physics,48.39%,31,15,9
