,School name,Department,Admission deadline  (domestic) Fall,Admission deadline  (domestic) Spring,Admission deadline  (international) Fall,Admission deadline  (international) Spring
0,University of Dayton,Electro-Optics Program,09/01/2018 *,,09/01/2018,
1,DePaul University,Physics,09/01/2019 *,,09/01/2019,
2,Missouri University of Science & Technology,Physics,09/01/2019,12/15/2019,09/01/2019,11/15/2019
3,University of Wisconsin,Medical Physics Program,12/01/2019 *,,11/15/2019,
4,Alabama A&M University,Physics,12/01/2019,10/15/2019,11/19/2019,09/16/2019
5,University of Southern California,Physics & Astronomy,12/01/2019,,12/01/2019,
6,University of Texas at Austin,Physics,12/01/2019,10/01/2019,12/01/2019,10/01/2019
7,Duke University,Physics,12/10/2019 *,,12/10/2019,
8,"University of North Carolina, Chapel Hill",Physics & Astronomy,12/10/2019,,12/10/2019,
9,"University of Maryland, College Park",Astronomy,12/13/2019 *,,12/13/2019,
10,Ohio State University,Physics,12/15/2019 *,,11/30/2019,
11,Northern Illinois University,Physics,12/15/2019 *,12/10/2019,12/01/2019,12/10/2019
12,Carnegie Mellon University,Physics,12/15/2019,,12/15/2019,
13,Cornell University,Physics,12/15/2019 *,,12/15/2019,
14,Harvard University,Physics,12/15/2019 *,,12/15/2019,
15,Massachusetts Institute of Technology,Physics,12/15/2019,,12/15/2019,
16,"Montana State University, Bozeman",Physics,12/15/2019 *,,12/15/2019,
17,Southern Methodist University,Physics,12/15/2019 *,,12/15/2019,
18,"University of California, San Diego",Physics,12/15/2019,,12/15/2019,
19,"University of California, Santa Barbara",Physics,12/15/2019,,12/15/2019,
20,University of Chicago,Astronomy & Astrophysics,12/15/2019 *,,12/15/2019,
21,University of Chicago,Physics,12/15/2019 *,,12/15/2019,
22,"University of Colorado, Boulder",Physics,12/15/2019,,12/15/2019,
23,University of Michigan,Applied Physics,12/15/2019,,12/15/2019,
24,University of Minnesota,Physics,12/15/2019,,12/15/2019,
25,University of Pennsylvania,Physics,12/15/2019 *,,12/15/2019,
26,University of Virginia,Physics,12/15/2019,,12/15/2019,
27,"University of Wisconsin, Madison",Physics,12/15/2019,,12/15/2019,
28,"University of Wisconsin, Milwaukee",Physics,12/15/2019 *,,12/15/2019,
29,Washington University in St. Louis,Physics,12/15/2019,,12/15/2019,
30,New Jersey Institute of Technology,Physics,12/15/2019 *,09/01/2019,12/15/2019,09/01/2019
31,Purdue Universty,Physics,12/15/2019,09/01/2019,12/15/2019,09/01/2019
32,University of South Florida,Physics,12/15/2019 *,09/01/2019,12/15/2019,09/01/2019
33,Columbia University,Department of Applied Physics and Applied Mathematics,12/15/2019 *,10/01/2019,12/15/2019,10/01/2019
34,"University of California, Berkeley",Physics,12/16/2019,,12/16/2019,
35,Stanford University,Physics,12/17/2019 *,,12/17/2019,
36,Northwestern University,Physics & Astronomy,12/31/2019 *,,12/31/2019,
37,Rice University,Smalley-Curl Institute,12/31/2019 *,,12/31/2019,
38,University of Kansas,Physics & Astronomy,12/31/2019 *,10/01/2019,12/31/2019,10/01/2019
39,Fudan University,Physics,12/31/2019,,01/31/2020,
40,"Indiana University, Bloomington",Physics,01/01/2020,,12/01/2019,
41,University of Arizona,Physics,01/01/2020 *,,12/01/2019,
42,Drexel University,Physics,01/01/2020 *,,01/01/2020,
43,Georgetown University,Physics,01/01/2020,,01/01/2020,
44,Georgia Institute of Technology,Physics,01/01/2020,,01/01/2020,
45,Iowa State University,Physics and Astronomy,01/01/2020 *,,01/01/2020,
46,Montana Tech of the University of Montana,Materials Science PhD Program,01/01/2020 *,,01/01/2020,
47,Northeastern University,Physics,01/01/2020 *,,01/01/2020,
48,Northern Arizona University,Physics,01/01/2020 *,,01/01/2020,
49,Rice University,Physics & Astronomy,01/01/2020 *,,01/01/2020,
50,"University of California, Irvine",Physics,01/01/2020,,01/01/2020,
51,"University of Maryland, Baltimore County",Physics Graduate Program,01/01/2020,,01/01/2020,
52,Vanderbilt University,Physics & Astronomy,01/01/2020 *,,01/01/2020,
53,"Rutgers University, New Brunswick",Physics & Astronomy,01/01/2020 *,11/01/2019,01/01/2020,11/01/2019
54,"University of Maryland, Baltimore County",Atmospheric Physics Graduate Program,01/01/2020,04/15/2020,01/01/2020,04/15/2020
55,Rensselaer Polytechnic Institute,"Physics, Applied Physics, Astronomy",01/01/2020,08/15/2020,01/01/2020,08/15/2020
56,Texas Christian University,Physics and Astronomy,01/01/2020,10/01/2020,01/01/2020,10/01/2020
57,"Indiana University, Bloomington",Astronomy,01/02/2020,,12/01/2019,
58,Boston College,Physics,01/02/2020,,01/02/2020,
59,Brown University,Physics,01/02/2020 *,,01/02/2020,
60,Columbia University,Physics,01/02/2020,,01/02/2020,
61,"North Carolina State University, Raleigh",Physics,01/03/2020 *,,01/03/2020,
62,Boston University,Physics,01/05/2020,,01/05/2020,
63,Emory University,Physics,01/05/2020 *,,01/05/2020,
64,University of Washington,Physics,01/05/2020,,01/05/2020,
65,Virginia Tech,Physics,01/05/2020,,01/05/2020,
66,"University of California, Riverside",Physics & Astronomy,01/06/2020,09/09/2019,01/06/2020,09/09/2019
67,University of Pittsburgh,Physics & Astronomy,01/07/2020 *,,01/07/2020,
68,Kansas State University,Physics,01/08/2020,,01/08/2020,
69,The Graduate Center - The City University of New York,Ph.D. Program in Physics,01/10/2020 *,,01/10/2020,
70,Portland State University,Physics,01/13/2020 *,,01/13/2020,
71,Baylor University,Physics,01/15/2020,,01/15/2020,
72,Bryn Mawr College,Physics,01/15/2020,,01/15/2020,
73,Case Western Reserve University,Physics,01/15/2020 *,,01/15/2020,
74,Clemson University,Physics & Astronomy,01/15/2020 *,,01/15/2020,
75,College of William and Mary,Physics,01/15/2020,,01/15/2020,
76,Florida State University,Physics,01/15/2020,,01/15/2020,
77,Georgia State University,Physics & Astronomy,01/15/2020 *,,01/15/2020,
78,Kent State University,Chemical Physics,01/15/2020,,01/15/2020,
79,Lehigh University,Physics,01/15/2020 *,,01/15/2020,
80,New Mexico Institute of Mining and Technology,Physics,01/15/2020,,01/15/2020,
81,New Mexico State University,Astronomy,01/15/2020 *,,01/15/2020,
82,Ohio University,Physics and Astronomy,01/15/2020,,01/15/2020,
83,Oregon State University,Physics,01/15/2020,,01/15/2020,
84,Pennsylvania State University,Physics,01/15/2020 *,,01/15/2020,
85,University of California Merced,Physics,01/15/2020 *,,01/15/2020,
86,"University of California, Santa Cruz",Physics,01/15/2020,,01/15/2020,
87,University of Cincinnati,Physics,01/15/2020 *,,01/15/2020,
88,University of Connecticut,Physics,01/15/2020,,01/15/2020,
89,"University of Illinois, Urbana-Champaign",Physics,01/15/2020 *,,01/15/2020,
90,"University of Massachusetts, Amherst",Physics,01/15/2020 *,,01/15/2020,
91,University of New Hampshire,Physics,01/15/2020 *,,01/15/2020,
92,University of Notre Dame,Physics,01/15/2020,,01/15/2020,
93,University of Oregon,Physics,01/15/2020,,01/15/2020,
94,University of Rochester,Physics & Astronomy,01/15/2020,,01/15/2020,
95,University of Utah,Physics,01/15/2020 *,,01/15/2020,
96,University of Wyoming,Physics & Astronomy,01/15/2020,,01/15/2020,
97,Utah State University,Physics,01/15/2020 *,,01/15/2020,
98,West Virginia University,Physics,01/15/2020 *,,01/15/2020,
99,George Washington University,Physics,01/15/2020 *,09/01/2019,01/15/2020,09/01/2019
100,University of Mississippi,Physics & Astronomy,01/15/2020,09/15/2019,01/15/2020,09/15/2019
101,"State University of New York (SUNY), Stony Brook",Physics & Astronomy,01/15/2020 *,10/15/2019,01/15/2020,10/15/2019
102,George Mason University,Physical Sciences,01/15/2020 *,10/31/2019,01/15/2020,10/31/2019
103,"State University of New York (SUNY), Albany",Physics,01/15/2020 *,11/15/2019,01/15/2020,11/15/2019
