,School name,Department,Total full-time faculty,Total full-time equivalent positions,Total full-time graduate students,Total postdocs,Total first-year graduate students,Total first-year female graduate students
0,Fudan University,Physics,91,122,389,70,90,27
1,University of Arizona,Optical Sciences,63,38,313,15,84,20
2,"University of Colorado, Boulder",Physics,73,54,301,99,66,15
3,"University of California, Berkeley",Physics,65,51,297,44,46,11
4,"University of Illinois, Urbana-Champaign",Physics,66,66,275,59,44,7
5,Massachusetts Institute of Technology,Physics,78,78,274,,49,8
6,"University of Nebraska, Lincoln",Nebraska Center for Materials & Nanoscience,103,7,257,70,,
7,Harvard University,Physics,49,40,244,115,44,10
8,"State University of New York (SUNY), Stony Brook",Physics & Astronomy,76,69,242,47,60,9
9,Ohio State University,Physics,57,57,208,45,40,5
10,Columbia University,Department of Applied Physics and Applied Mathematics,29,29,200,12,105,
11,University of Texas at Austin,Physics,49,49,195,25,34,5
12,Stanford University,Physics,50,50,194,54,33,11
13,University of Minnesota,Physics,60,60,180,14,28,5
14,Cornell University,Physics,49,42,177,51,28,5
15,"University of California, San Diego",Physics,65,65,169,61,25,2
16,"University of Wisconsin, Madison",Physics,44,45,167,80,28,9
17,University of Chicago,Physics,46,40,166,51,27,11
18,"University of California, Santa Barbara",Physics,55,50,159,58,25,5
19,"University of California, Irvine",Physics,50,,154,31,35,15
20,Florida State University,Physics,77,48,151,5,26,6
21,Purdue Universty,Physics,59,,151,25,28,2
22,University of Washington,Physics,49,43,148,20,26,8
23,Pennsylvania State University,Physics,51,44,144,30,29,7
24,"University of California, Riverside",Physics & Astronomy,47,44,144,21,23,6
25,University of Pittsburgh,Physics & Astronomy,38,58,129,25,29,5
26,Georgia Institute of Technology,Physics,42,42,125,10,18,6
27,"North Carolina State University, Raleigh",Physics,54,46,125,15,17,3
28,Brown University,Physics,30,30,123,16,41,10
29,University of Central Florida,"CREOL, The College of Optics & Photonics",36,14,120,15,25,5
30,Princeton University,Physics,39,,117,53,21,5
31,University of Florida,Physics,49,,117,30,24,5
32,Arizona State University,Physics & Astronomy,55,55,113,10,25,3
33,"Rutgers University, New Brunswick",Physics & Astronomy,56,56,113,51,20,3
34,University of Arizona,Physics,32,,113,9,31,10
35,University of Rochester,Physics & Astronomy,27,,113,5,15,3
36,"University of Tennessee, Knoxville",Physics & Astronomy,33,29,112,28,23,1
37,University of Notre Dame,Physics,61,48,107,11,21,7
38,Northwestern University,Physics & Astronomy,41,,105,40,34,11
39,University of Houston,Physics,34,55,104,14,21,3
40,The Graduate Center - The City University of New York,Ph.D. Program in Physics,95,2,103,2,21,5
41,Montana Tech,Geosciences & Engineering,58,62,101,3,32,15
42,University of Pennsylvania,Physics,40,40,100,53,13,6
43,Columbia University,Physics,38,,99,18,12,5
44,"University of Massachusetts, Amherst",Physics,39,,99,11,21,3
45,University of Virginia,Physics,36,,99,13,16,2
46,"Indiana University, Bloomington",Physics,34,34,97,6,14,4
47,"University of Illinois, Chicago",Physics,25,,96,10,15,3
48,Northeastern University,Physics,43,42,95,20,25,10
49,Rice University,Physics & Astronomy,53,42,95,17,18,2
50,"State University of New York (SUNY), Univ. at Buffalo",Physics,22,22,95,8,17,2
51,University of Central Florida,Physics,50,50,94,12,21,6
52,"University of Nebraska, Lincoln",Physics & Astronomy,27,27,94,14,18,3
53,University of Kentucky,Physics & Astronomy,31,31,93,11,9,4
54,University of Michigan,Applied Physics,163,,92,,17,6
55,Boston University,Physics,43,43,91,17,28,3
56,Duke University,Physics,31,31,91,17,19,2
57,"University of North Carolina, Chapel Hill",Physics & Astronomy,43,63,90,7,27,8
58,Iowa State University,Physics and Astronomy,38,57,89,30,4,1
59,University of Oregon,Physics,40,40,89,15,16,4
60,"University of California, Santa Cruz",Physics,24,24,84,11,22,9
61,University of Oklahoma,Physics & Astronomy,25,25,84,7,18,6
62,University of Southern California,Physics & Astronomy,41,31,83,6,14,6
63,University of Connecticut,Physics,33,33,82,11,19,2
64,Washington University in St. Louis,Physics,31,23,82,8,14,
65,Carnegie Mellon University,Physics,33,31,78,18,11,2
66,Virginia Tech,Physics,35,,78,17,12,6
67,"Montana State University, Bozeman",Physics,20,44,77,4,19,4
68,University of Delaware,Physics & Astronomy,37,35,74,12,11,2
69,West Virginia University,Physics,28,28,74,14,14,2
70,University of Wisconsin,Medical Physics Program,29,,73,6,21,4
71,Clemson University,Physics & Astronomy,29,30,72,15,19,4
72,Ohio University,Physics and Astronomy,26,26,72,1,14,2
73,Kent State University,Department of Physics,30,30,70,5,9,1
74,University of Utah,Physics,30,44,70,19,14,6
75,"University of Massachusetts, Lowell",Physics & Applied Physics,31,31,69,6,22,2
76,Colorado State University,Physics,22,22,68,6,15,2
77,Georgia State University,Physics & Astronomy,30,30,68,5,15,7
78,Colorado School of Mines,Physics,24,24,66,2,25,5
79,George Mason University,Physical Sciences,53,37,66,6,19,4
80,University of New Hampshire,Physics,39,21,66,17,12,6
81,University of California Merced,Physics,17,17,64,11,18,6
82,Vanderbilt University,Physics & Astronomy,27,27,63,20,11,6
83,University of Iowa,Physics & Astronomy,29,29,61,15,14,1
84,University of Kansas,Physics & Astronomy,30,30,61,11,9,1
