,School name,Department,Departmental research,Research type
0,Cornell University,Physics,Accelerator,experimental
1,Illinois Institute of Technology,Physics,Accelerator,experimental
2,Lehigh University,Physics,Accelerator,experimental
3,Old Dominion University,Physics,Accelerator,experimental
4,University of Michigan,Applied Physics,Accelerator,experimental
5,"University of Tennessee, Knoxville",Physics & Astronomy,Accelerator,experimental
6,University of Michigan,Applied Physics,Accelerator,theoretical
7,Purdue Universty,Physics,Accelerator Mass Spectrometry,experimental
8,"State University of New York (SUNY), Stony Brook",Physics & Astronomy,Accelerator Physics,experimental
9,University of Chicago,Physics,Accelerator Physics,experimental
10,"State University of New York (SUNY), Stony Brook",Physics & Astronomy,Accelerator Physics,theoretical
11,Bowling Green State University,Physics & Astronomy,Acoustics,experimental
12,San Jose State University,Physics,Acoustics,experimental
13,University of Alaska Fairbanks,Physics,Acoustics,experimental
14,University of Michigan,Applied Physics,Acoustics,experimental
15,University of Mississippi,Physics & Astronomy,Acoustics,experimental
16,University of Vermont,Physics,Acoustics,experimental
17,Bowling Green State University,Physics & Astronomy,Acoustics,theoretical
18,Eastern Michigan University,Physics and Astronomy,Acoustics,theoretical
19,Harvard University,Physics,Acoustics,theoretical
20,"State University of New York (SUNY), Univ. at Buffalo",Physics,Acoustics,theoretical
21,"University of California, San Diego",Physics,Acoustics,theoretical
22,University of Michigan,Applied Physics,Acoustics,theoretical
23,Virginia Commonwealth University,Physics,Acoustics,theoretical
24,"Texas State University, San Marcos",Physics,Adaptive Optics,experimental
25,The University of North Carolina at Charlotte,Physics and Optical Science,Adaptive optics,experimental
26,The University of North Carolina at Charlotte,Physics and Optical Science,Adaptive Optics,theoretical
27,University of California Merced,Physics,Affiliated faculty in other departments,experimental
28,"University of Maryland, Baltimore County",Atmospheric Physics Graduate Program,air quality,theoretical
29,University of Michigan,Applied Physics,Applied Mathematics,experimental
30,Columbia University,Department of Applied Physics and Applied Mathematics,Applied Mathematics,theoretical
31,Harvard University,Physics,Applied Mathematics,theoretical
32,University of Michigan,Applied Physics,Applied Mathematics,theoretical
33,Colorado School of Mines,Physics,Applied Optics,experimental
34,University of New Hampshire,Physics,Applied Optics,experimental
35,"California State University, Long Beach",Physics & Astronomy,Applied Physics,experimental
36,Harvard University,Physics,Applied Physics,experimental
37,Illinois Institute of Technology,Physics,Applied Physics,experimental
38,New Mexico State University,Physics,Applied Physics,experimental
39,Oakland University,Physics,Applied Physics,experimental
40,Purdue Universty,Physics,Applied Physics,experimental
41,San Francisco State University,Physics & Astronomy,Applied Physics,experimental
42,San Jose State University,Physics,Applied Physics,experimental
43,"State University of New York (SUNY), Binghamton","Physics, Applied Physics & Astronomy",Applied Physics,experimental
44,"State University of New York (SUNY), Univ. at Buffalo",Physics,Applied Physics,experimental
45,"University of Colorado, Boulder",Physics,Applied Physics,experimental
46,"University of Massachusetts, Lowell",Physics & Applied Physics,Applied Physics,experimental
47,"University of Massachusetts, Lowell",Physics & Applied Physics,Applied Physics,experimental
48,"University of Massachusetts, Lowell",Physics & Applied Physics,Applied Physics,experimental
49,University of Michigan,Applied Physics,Applied Physics,experimental
