,School name,Department,Faculty,Enrollment Master's,Enrollment Doctorate,Number of degrees granted Master's,Number of degrees granted Terminal Master's,Number of degrees granted Doctorate,Degrees granted in past years Past years,Degrees granted in past years Master's,Degrees granted in past years Terminal Master's,Degrees granted in past years Doctorate
0,University of Michigan,Applied Physics,163,4,80,,,14,,,,
1,"University of Nebraska, Lincoln",Nebraska Center for Materials & Nanoscience,109,85,172,,,,,,,
2,Fudan University,Physics,108,,,,,,2017-62,,,
3,Massachusetts Institute of Technology,Physics,78,2,257,1,1,47,2015-19,3,9,188
4,Stanford University,Physics,73,,,2,2,25,2017-2018,4,2,22
5,"Rutgers University, New Brunswick",Physics & Astronomy,71,4,114,,2,16,,,,
6,University of Rochester,Physics & Astronomy,69,,113,20,,12,2006-19,192,5,161
7,"State University of New York (SUNY), Stony Brook",Physics & Astronomy,68,73,162,11,11,20,2014-19,,60,103
8,Montana Tech,Geosciences & Engineering,67,84,17,38,,,,,,
9,Duke University,Physics,67,,76,,1,17,2014–18,,5,59
10,Harvard University,Physics,66,,244,16,2,33,,,,
11,Arizona State University,Physics & Astronomy,64,15,92,5,12,13,,,,
12,"University of California, Berkeley",Physics,64,,297,24,,25,2014–19,120,,153
13,Ohio State University,Physics,62,,207,32,2,31,2013-2018,,,170
14,University of Minnesota,Physics,60,4,,9,,16,2014-2019,28,28,122
15,University of Notre Dame,Physics,59,,107,,1,12,2013-18,,18,70
16,Purdue Universty,Physics,57,,148,6,7,22,2014-19,28,22,90
17,"University of California, Santa Barbara",Physics,57,,143,24,2,38,2014-19,95,7,113
18,University of Southern California,Physics & Astronomy,57,,83,,2,12,2014-19,5,13,39
19,University of Chicago,Physics,55,,149,18,1,13,2008-2018,118,5,145
20,University of Virginia,Physics,53,3,102,,8,8,2014–19,5,32,62
21,University of Utah,Physics,52,1,69,2,4,11,2003-10,69,,46
22,University of Central Florida,Physics,50,8,89,9,,12,2014-19,49,,77
23,University of Texas at Austin,Physics,49,51,149,2,4,30,2014-18,6,11,129
24,"North Carolina State University, Raleigh",Physics,49,3,128,9,,13,2014-19,35,11,57
25,Cornell University,Physics,49,,177,20,,24,2014-19,120,7,112
26,"University of California, Irvine",Physics,49,,155,18,,19,2014-2019,73,22,102
27,University of Florida,Physics,49,,117,13,1,14,2010-19,102,,169
28,Pennsylvania State University,Physics,49,,113,,1,16,2011-17,,19,120
29,George Mason University,Physical Sciences,48,16,50,6,,4,2013-18,38,,25
30,Florida State University,Physics,48,8,143,26,,22,2013-18,154,,146
31,University of New Hampshire,Physics,48,3,67,,1,10,2014-19,,10,31
32,Princeton University,Physics,48,,124,,,,,,,23
33,Rice University,Physics & Astronomy,46,,89,17,2,15,2014-19,87,12,77
34,Montana Tech of the University of Montana,Materials Science PhD Program,45,,26,,,,2014-19,,,
35,"University of Wisconsin, Madison",Physics,45,,,,,,,,,
36,"University of California, Riverside",Physics & Astronomy,44,,110,19,6,13,2010-18,148,26,139
