,School name,Department,Number of first-year students Fellowship,Number of first-year students RA's,Number of first-year students TA's,Number of first-year students Receive full tuition waivers,Number of first-year students Receive partial waivers,"Average stipend 
 (per academic year) Fellowship ($$)","Average stipend 
 (per academic year) RA ($$)","Average stipend 
 (per academic year) TA ($$)"
0,"University of Colorado, Boulder",Physics,2,25,39,66 *,,"$23,842","$23,842","$23,842"
1,Massachusetts Institute of Technology,Physics,34,12,3,49,,"$40,331","$40,331","$40,331"
2,"University of California, Berkeley",Physics,7,3,36,46 *,,"$34,000","$35,000","$21,150"
3,Harvard University,Physics,44,,,44 *,,"$31,610","$31,610","$31,610"
4,"University of Illinois, Urbana-Champaign",Physics,3,,41,44 *,,"$25,000","$24,266","$24,266"
5,Ohio State University,Physics,19,,21,40 *,1,"$28,000","$27,264","$26,244"
6,"University of California, Riverside",Physics & Astronomy,34,,32,34 *,,"$20,000","$20,853","$21,273"
7,"State University of New York (SUNY), Stony Brook",Physics & Astronomy,3,1,29,32,,"$33,000","$28,000","$23,000"
8,University of Arizona,Optical Sciences,30,,,31 *,,"$24,344","$17,379","$17,379"
9,Stanford University,Physics,,,,30,,,,
10,Stevens Institute of Technology,Physics And Engineering Physics,1,,,30 *,,"$23,279","$23,279","$23,279"
11,University of Texas at Austin,Physics,7,1,25,29,,"$30,000","$27,540","$27,540"
12,Pennsylvania State University,Physics,9,,19,28 *,,"$34,000","$29,565","$24,577"
13,University of Minnesota,Physics,2,,26,28 *,,"$19,843","$19,843","$19,843"
14,"University of Wisconsin, Madison",Physics,1,3,24,28 *,,"$22,000","$22,000","$22,000"
15,Florida State University,Physics,,,26,27 *,,"$23,900","$23,900","$20,900"
16,University of Chicago,Physics,13,11,20,27 *,,"$24,225","$24,225","$24,225"
17,University of Florida,Physics,4,,27,27,,"$31,000","$25,000","$25,000"
18,"University of North Carolina, Chapel Hill",Physics & Astronomy,2,1,24,27,,"$24,000","$25,901","$25,901"
19,University of Pittsburgh,Physics & Astronomy,10,,17,27 *,,"$33,400","$29,220","$29,220"
20,University of Washington,Physics,7,4,15,26,,,"$21,069","$21,069"
