,School name,Department,Number of grants,Research expenditures($)
0,"University of California, Irvine",Physics,305,"$14,453,416"
1,"University of California, Berkeley",Physics,289,"$24,632,366"
2,Arizona State University,Physics & Astronomy,257,"$6,153,563"
3,University of Central Florida,Physics,201,"$10,846,498"
4,Princeton University,Physics,188,"$26,048,895"
5,"University of Nebraska, Lincoln",Nebraska Center for Materials & Nanoscience,187,"$22,818,210"
6,"University of Maryland, College Park",Astronomy,180,"$30,000,000"
7,University of Chicago,Physics,176,"$21,573,681"
8,Columbia University,Physics,173,"$19,636,189"
9,University of Minnesota,Physics,164,"$14,319,405"
10,Rice University,Physics & Astronomy,159,"$11,073,760"
11,University of Iowa,Physics & Astronomy,157,"$15,742,404"
12,"University of California, San Diego",Physics,154,"$39,789,696"
13,"University of Wisconsin, Madison",Physics,153,"$28,213,855"
14,Carnegie Mellon University,Physics,150,"$7,975,948"
15,Columbia University,Department of Applied Physics and Applied Mathematics,147,"$14,083,220"
16,University of Arizona,Optical Sciences,140,"$37,664,754"
17,Harvard University,Physics,136,"$91,187,894"
18,University of New Hampshire,Physics,134,"$16,768,801"
19,Ohio State University,Physics,123,"$21,266,960"
20,"University of Illinois, Urbana-Champaign",Physics,115,"$23,151,000"
21,University of Texas at Austin,Physics,113,"$11,393,358"
22,"University of North Carolina, Chapel Hill",Physics & Astronomy,107,"$12,623,817"
23,Purdue Universty,Physics,106,$
24,"University of California, Santa Barbara",Physics,103,"$19,450,119"
25,"University of Alabama, Tuscaloosa",Physics & Astronomy,95,"$10,558,356"
26,University of Delaware,Physics & Astronomy,95,"$5,803,412"
27,"University of Tennessee, Knoxville",Physics & Astronomy,92,"$12,353,265"
28,University of Pittsburgh,Physics & Astronomy,91,"$7,795,784"
29,Pennsylvania State University,Physics,90,"$13,240,398"
30,Georgia Institute of Technology,Physics,85,"$6,886,303"
31,Northeastern University,Physics,84,"$10,449,479"
32,Duke University,Physics,80,"$10,714,946"
33,Boston University,Physics,75,"$7,218,732"
34,Vanderbilt University,Physics & Astronomy,74,"$7,891,138"
35,University of Utah,Physics,74,"$6,067,000"
36,West Virginia University,Physics,72,"$5,780,762"
37,College of William and Mary,Physics,71,"$5,400,223"
38,New Mexico State University,Astronomy,69,"$8,292,806"
39,University of Rochester,Physics & Astronomy,67,"$7,017,461"
40,Clemson University,Physics & Astronomy,63,"$3,869,048"
41,University of Oklahoma,Physics & Astronomy,62,"$3,640,679"
42,"State University of New York (SUNY), Univ. at Buffalo",Physics,58,"$2,077,327"
43,"State University of New York (SUNY), Stony Brook",Physics & Astronomy,57,"$22,570,979"
44,University of Washington,Physics,56,"$17,773,543"
45,University of Florida,Physics,55,"$10,124,373"
46,University of Oregon,Physics,55,"$8,144,277"
47,University of Wisconsin,Medical Physics Program,55,"$4,997,139"
48,University of Connecticut,Physics,55,"$2,981,563"
49,Iowa State University,Physics and Astronomy,50,"$13,739,043"
50,New Jersey Institute of Technology,Physics,50,"$9,000,000"
51,Brown University,Physics,48,"$10,209,114"
52,University of Southern California,Physics & Astronomy,47,"$5,600,000"
53,"University of Nebraska, Lincoln",Physics & Astronomy,46,"$10,696,831"
54,Northern Arizona University,Physics,45,"$6,987,785"
55,Old Dominion University,Physics,44,"$4,122,125"
56,"University of California, Riverside",Physics & Astronomy,43,"$9,668,409"
57,University of South Florida,Physics,43,"$2,732,311"
58,"University of Wisconsin, Milwaukee",Physics,42,"$8,303,599"
59,Texas Tech University,Physics,40,"$2,749,000"
60,"University of Illinois, Chicago",Physics,38,"$4,323,541"
61,Colorado School of Mines,Physics,37,"$4,991,026"
62,Case Western Reserve University,Physics,35,"$12,422,060"
63,Rensselaer Polytechnic Institute,"Physics, Applied Physics, Astronomy",34,"$2,869,616"
64,Kent State University,Chemical Physics,32,"$4,399,944"
65,Kent State University,Department of Physics,32,"$1,968,160"
66,George Washington University,Physics,31,"$2,950,000"
67,Wake Forest University,Physics,31,"$1,595,157"
68,Wayne State University,Physics and Astronomy,30,"$6,917,774"
69,University of Cincinnati,Physics,29,"$2,592,590"
70,Colorado State University,Physics,28,"$3,010,000"
71,"University of Texas, Arlington",Physics,27,"$7,700,000"
72,University of Arizona,Physics,27,"$5,036,467"
73,University of Alabama at Birmingham,Physics,27,"$2,936,320"
74,Portland State University,Physics,27,"$1,448,238"
75,Ohio University,Physics and Astronomy,25,"$2,054,738"
76,University of Mississippi,Physics & Astronomy,24,"$3,971,998"
77,"University of Nevada, Las Vegas",Physics,24,"$2,790,943"
78,Lehigh University,Physics,24,"$2,418,000"
79,Montana Tech,Geosciences & Engineering,24,"$2,314,000"
80,Florida International University,Physics,23,"$9,205,157"
81,Michigan Technological University,Physics,23,"$1,497,102"
82,Oregon State University,Physics,23,"$1,392,444"
83,"University of Minnesota, Duluth",Physics,22,"$3,065,001"
84,"University of Missouri, Columbia",Physics & Astronomy,22,"$2,354,282"
85,Oklahoma State University,Physics,22,"$1,080,151"
86,Emory University,Physics,21,"$2,955,006"
87,"University of Maryland, Baltimore County",Physics Graduate Program,20,"$1,390,802"
88,San Jose State University,Physics,18,"$5,633,000"
89,"University of Maryland, Baltimore County",Atmospheric Physics Graduate Program,17,"$4,333,329"
90,Virginia Commonwealth University,Physics,16,"$1,425,184"
91,Missouri University of Science & Technology,Physics,16,"$1,046,857"
92,Utah State University,Physics,15,"$1,740,000"
93,Appalachian State University,Physics and Astronomy,15,"$179,877"
94,University of Maine,Physics and Astronomy,14,"$1,272,555"
95,North Dakota State University,Physics,13,"$1,734,000"
96,Baylor University,Physics,13,"$843,036"
97,Western Michigan University,Physics,12,"$1,005,329"
98,Bowling Green State University,Physics & Astronomy,12,"$908,000"
99,Southern Connecticut State University,Physics,12,"$765,000"
100,"University of Colorado, Colorado Springs",Physics,12,"$657,383"
101,"Indiana University, Bloomington",Astronomy,12,"$183,620"
102,Illinois Institute of Technology,Physics,11,"$3,074,794"
103,Central Michigan University,Physics,11,"$2,200,000"
104,Alabama A&M University,Physics,10,"$1,950,000"
105,Oakland University,Physics,10,"$1,410,885"
106,University of Denver,Physics,10,"$1,182,997"
107,"Texas State University, San Marcos",Physics,10,"$360,000"
108,Stevens Institute of Technology,Physics And Engineering Physics,9,"$6,845,283"
109,Eastern Michigan University,Physics and Astronomy,9,"$1,472,000"
110,Creighton University,Physics,9,"$561,378"
111,Clark University,Physics,8,"$555,665"
112,San Diego State University,Physics,7,"$867,005"
113,San Francisco State University,Physics & Astronomy,7,"$800,000"
114,Clarkson University,Physics,7,$
115,Georgetown University,Physics,6,"$1,797,278"
116,Indiana University - Purdue University Indianapolis,Physics,6,"$730,968"
117,Bryn Mawr College,Physics,6,"$634,810"
118,"University of Massachusetts, Dartmouth",Physics,6,"$154,000"
119,Miami University,Physics,4,"$525,497"
120,Southern Methodist University,Physics,4,$
121,DePaul University,Physics,2,"$60,000"
122,University of Vermont,Physics,1,"$1,616,040"
123,Massachusetts Institute of Technology,Physics,,"$98,213,331"
124,"University of Colorado, Boulder",Physics,,"$67,083,603"
125,Cornell University,Physics,,"$59,148,005"
126,University of Notre Dame,Physics,,"$12,811,586"
127,University of Virginia,Physics,,"$12,447,710"
128,Kansas State University,Physics,,"$10,339,640"
129,"University of Massachusetts, Lowell",Physics & Applied Physics,,"$10,293,962"
130,"Indiana University, Bloomington",Physics,,"$7,821,700"
131,Virginia Tech,Physics,,"$4,016,532"
132,East Carolina University,Physics,,$
133,New Mexico Institute of Mining and Technology,Physics,,$
134,Northwestern University,Physics & Astronomy,,$
135,Rice University,Smalley-Curl Institute,,$
136,University of Central Florida,"CREOL, The College of Optics & Photonics",,$
137,"University of Massachusetts, Amherst",Physics,,$
138,Washington University in St. Louis,Physics,,$
