,School name,Department,GRE requirements,Minimum Quantitative score (percentile),Minimum Verbal score (percentile),Minimum Analytical writing score (percentile),GRE Physics requirements,Minimum GRE Physics score (percentile)
0,"University of North Carolina, Chapel Hill",Physics & Astronomy,"yes, required",158 ( 87% ),159 ( 84% ),4 ( 54% ),no,
1,"State University of New York (SUNY), Univ. at Buffalo",Physics,"yes, required *",162 ( 84% ),152 ( 53% ),3.5 ( 35% ),"yes, required *",650 ( 50% )
2,University of Delaware,Physics & Astronomy,"yes, required *",160 ( 81% ),,,"yes, required",650 ( 49% )
3,"State University of New York (SUNY), Stony Brook",Physics & Astronomy,"yes, required *",160 ( 78% ),155,3 ( 14% ),"yes, required *",600
4,"Indiana University, Bloomington",Physics,"yes, required *",( 78% ),( 62% ),( 35% ),"yes, required *",( 33% )
5,University of Virginia,Physics,"yes, required",750 ( 75% ),500 ( 58% ),4 ( 54% ),"yes, required *",
6,University of Southern California,Physics & Astronomy,"yes, required",160 ( 75% ),150 ( 70% ),3,"yes, required",780 ( 69% )
7,"Montana State University, Bozeman",Physics,"yes, required",157 ( 69% ),155 ( 66% ),3.5 ( 35% ),"yes, required",570 ( 23% )
8,Michigan Technological University,Physics,"yes, required",720 ( 65% ),,3 ( 14% ),no,
9,"State University of New York (SUNY), Binghamton","Physics, Applied Physics & Astronomy","yes, required *",156 ( 65% ),153 ( 58% ),3 ( 14% ),"yes, recommended",
10,"University of California, Santa Barbara",Physics,"yes, required *",( 65% ),( 28% ),( 14% ),"yes, required *",( 45% )
11,Missouri University of Science & Technology,Physics,"yes, required",700 ( 61% ),,3 ( 14% ),"yes, recommended",700 ( 54% )
12,Wayne State University,Physics and Astronomy,"yes, required",700 ( 61% ),,,"yes, recommended",700
13,Wake Forest University,Physics,"yes, required *",160 ( 61% ),150 ( 44% ),3.5,"yes, recommended *",640 ( 23% )
14,New Jersey Institute of Technology,Physics,"yes, required",160 ( 61% ),150 ( 28% ),,"yes, recommended *",
15,Emory University,Physics,"yes, required *",155 ( 61% ),153 ( 58% ),3 ( 14% ),"yes, recommended *",
16,Georgia Institute of Technology,Physics,"yes, required",155 ( 61% ),153 ( 58% ),3 ( 14% ),no *,( 40% )
17,"University of Missouri, Columbia",Physics & Astronomy,"yes, required",155 ( 61% ),146 ( 28% ),3 ( 14% ),"yes, recommended",500 ( 9% )
18,Western Michigan University,Physics,"yes, required *",155 ( 61% ),138 ( 6% ),3 ( 14% ),"yes, recommended *",
19,Cornell University,Physics,"yes, required *",( 57% ),( 28% ),( 14% ),"yes, required *",( 31% )
20,Arizona State University,Physics & Astronomy,"yes, required *",150 ( 41% ),150 ( 44% ),3 ( 14% ),"yes, required *",600 ( 31% )
21,San Diego State University,Physics,"yes, required *",150 ( 41% ),150 ( 44% ),3 ( 14% ),no,
