,School name,Department,Country / Territory,State
0,Alabama A&M University,Physics,USA,AL
1,Appalachian State University,Physics and Astronomy,USA,NC
2,Arizona State University,Physics & Astronomy,USA,AZ
3,Auburn University,Physics,USA,AL
4,Baylor University,Physics,USA,TX
5,Boston College,Physics,USA,MA
6,Boston University,Physics,USA,MA
7,Bowling Green State University,Physics & Astronomy,USA,OH
8,Brown University,Physics,USA,RI
9,Bryn Mawr College,Physics,USA,PA
10,"California State University, Long Beach",Physics & Astronomy,USA,CA
11,Carnegie Mellon University,Physics,USA,PA
12,Case Western Reserve University,Physics,USA,OH
13,Central Michigan University,Physics,USA,MI
14,Clark University,Physics,USA,MA
15,Clarkson University,Physics,USA,NY
16,Clemson University,Physics & Astronomy,USA,SC
17,College of William and Mary,Physics,USA,VA
18,Colorado School of Mines,Physics,USA,CO
19,Colorado State University,Physics,USA,CO
20,Columbia University,Department of Applied Physics and Applied Mathematics,USA,NY
21,Columbia University,Physics,USA,NY
22,Cornell University,Physics,USA,NY
23,Creighton University,Physics,USA,NE
24,DePaul University,Physics,USA,IL
25,Drexel University,Physics,USA,PA
26,Duke University,Physics,USA,NC
27,East Carolina University,Physics,USA,NC
28,Eastern Michigan University,Physics and Astronomy,USA,MI
29,Emory University,Physics,USA,GA
30,Florida Atlantic University,Physics,USA,FL
31,Florida International University,Physics,USA,FL
32,Florida State University,Physics,USA,FL
33,Fudan University,Physics,CHINA,Shanghai
34,George Mason University,Physical Sciences,USA,VA
35,George Washington University,Physics,USA,DC
36,Georgetown University,Physics,USA,DC
37,Georgia Institute of Technology,Physics,USA,GA
38,Georgia State University,Physics & Astronomy,USA,GA
39,Harvard University,Physics,USA,MA
40,Illinois Institute of Technology,Physics,USA,IL
41,Indiana University - Purdue University Indianapolis,Physics,USA,IN
42,"Indiana University, Bloomington",Astronomy,USA,IN
43,"Indiana University, Bloomington",Physics,USA,IN
44,Iowa State University,Physics and Astronomy,USA,IA
45,Kansas State University,Physics,USA,KS
46,Kent State University,Chemical Physics,USA,OH
47,Kent State University,Department of Physics,USA,OH
48,Lehigh University,Physics,USA,PA
49,Massachusetts Institute of Technology,Physics,USA,MA
