,School name,Department,Total research budget  ($),Departmental research budget  ($),Research outside department budget  ($)
0,Massachusetts Institute of Technology,Physics,"$98,213,331","$98,213,331",$
1,Harvard University,Physics,"$91,187,894","$91,187,894",$
2,"University of Colorado, Boulder",Physics,"$67,083,605","$29,584,573","$37,499,032"
3,"University of California, Berkeley",Physics,"$44,068,049","$29,068,049","$15,000,000"
4,"University of California, San Diego",Physics,"$43,249,372","$39,789,696","$3,459,676"
5,University of Arizona,Optical Sciences,"$37,664,754","$37,664,754",$
6,"University of Nebraska, Lincoln",Nebraska Center for Materials & Nanoscience,"$33,515,041","$22,818,210","$10,696,831"
7,"University of Nebraska, Lincoln",Physics & Astronomy,"$33,515,041","$10,696,831","$22,818,210"
8,"University of Maryland, College Park",Astronomy,"$30,000,000","$30,000,000",$
9,"University of Wisconsin, Madison",Physics,"$28,213,855","$28,213,855",$
10,Princeton University,Physics,"$26,048,894","$21,575,939","$4,472,955"
11,University of Chicago,Physics,"$24,633,624","$21,573,683","$3,059,941"
12,"University of California, Santa Barbara",Physics,"$24,453,856","$20,836,282","$3,617,574"
13,"State University of New York (SUNY), Stony Brook",Physics & Astronomy,"$24,270,979","$24,270,979",$
14,"University of Illinois, Urbana-Champaign",Physics,"$23,151,000","$22,114,000","$1,037,000"
15,University of Houston,Physics,"$22,896,829","$22,896,829",$
16,University of Washington,Physics,"$20,115,332","$20,115,332",$
17,Columbia University,Physics,"$19,636,189","$19,636,189",$
18,"State University of New York (SUNY), Binghamton","Physics, Applied Physics & Astronomy","$18,800,000","$5,300,000","$13,500,000"
19,University of New Hampshire,Physics,"$16,768,801","$16,768,801",$
20,University of Minnesota,Physics,"$16,519,405","$16,519,405",$
21,Ohio State University,Physics,"$15,905,690","$15,905,690",$
22,University of Iowa,Physics & Astronomy,"$15,742,404","$15,742,404",$
23,"North Carolina State University, Raleigh",Physics,"$15,513,820","$8,005,870","$7,507,950"
24,"University of California, Irvine",Physics,"$14,453,416",$,"$14,453,416"
25,Iowa State University,Physics and Astronomy,"$13,737,978","$13,737,978",$
26,Pennsylvania State University,Physics,"$13,240,398","$13,240,398",$
27,University of Notre Dame,Physics,"$12,811,586","$12,811,586",$
28,"University of North Carolina, Chapel Hill",Physics & Astronomy,"$12,623,817","$11,472,182","$1,151,635"
29,Case Western Reserve University,Physics,"$12,422,060","$12,422,060",$
30,"University of Tennessee, Knoxville",Physics & Astronomy,"$12,353,265","$12,353,265",$
31,University of Virginia,Physics,"$12,236,610","$12,236,610",$
32,Purdue Universty,Physics,"$11,857,424","$11,857,424",$
33,Northwestern University,Physics & Astronomy,"$11,531,378","$11,531,378",$
34,University of Texas at Austin,Physics,"$11,393,358","$11,393,358",$
35,Rice University,Physics & Astronomy,"$11,073,760","$11,073,760",$
36,"Rutgers University, New Brunswick",Physics & Astronomy,"$11,000,000","$11,000,000",$
37,University of Central Florida,Physics,"$10,846,498","$506,396","$10,340,102"
38,Duke University,Physics,"$10,714,946","$10,714,946",$
39,"University of Alabama, Tuscaloosa",Physics & Astronomy,"$10,558,356","$10,558,356",$
40,Northeastern University,Physics,"$10,449,478","$9,051,592","$1,397,886"
41,University of Florida,Physics,"$10,428,346","$10,428,346",$
42,Kansas State University,Physics,"$10,339,640","$10,339,640",$
43,"University of Massachusetts, Lowell",Physics & Applied Physics,"$10,293,962","$10,293,962",$
44,Brown University,Physics,"$10,209,114","$10,209,114",$
45,"University of California, Riverside",Physics & Astronomy,"$9,668,409","$9,668,409",$
46,New Jersey Institute of Technology,Physics,"$9,000,000","$9,000,000",$
47,University of Wyoming,Physics & Astronomy,"$8,425,995","$8,425,995",$
48,Arizona State University,Physics & Astronomy,"$8,368,493","$6,841,131","$1,527,362"
49,"University of Wisconsin, Milwaukee",Physics,"$8,303,599","$8,303,599",$
50,Carnegie Mellon University,Physics,"$8,206,748","$7,975,948","$230,800"
51,Georgia State University,Physics & Astronomy,"$8,182,800","$7,530,000","$652,800"
52,University of Oregon,Physics,"$8,144,277","$8,144,277",$
53,Florida International University,Physics,"$7,918,992","$7,918,992",$
54,Vanderbilt University,Physics & Astronomy,"$7,891,138","$7,891,138",$
55,University of Pittsburgh,Physics & Astronomy,"$7,863,851","$68,068","$7,795,784"
56,"Indiana University, Bloomington",Physics,"$7,821,700","$4,025,280","$3,796,420"
57,New Mexico State University,Astronomy,"$7,796,596","$7,796,596",$
58,San Jose State University,Physics,"$7,723,000","$6,183,000","$1,540,000"
59,"University of Texas, Arlington",Physics,"$7,700,000","$7,700,000",$
60,Boston University,Physics,"$7,218,732","$7,218,732",$
61,University of Rochester,Physics & Astronomy,"$7,017,461","$7,017,461",$
62,Northern Arizona University,Physics,"$6,987,785","$6,987,785",$
63,Wayne State University,Physics and Astronomy,"$6,917,773","$6,200,897","$716,876"
64,Georgia Institute of Technology,Physics,"$6,886,303","$6,886,303",$
65,"Montana State University, Bozeman",Physics,"$6,400,163","$6,400,163",$
66,University of Utah,Physics,"$6,067,000","$6,067,000",$
67,University of Delaware,Physics & Astronomy,"$5,803,313","$5,803,313",$
68,University of Wisconsin,Medical Physics Program,"$5,772,256","$5,772,256",$
69,West Virginia University,Physics,"$5,744,061","$5,744,061",$
70,George Mason University,Physical Sciences,"$5,400,000","$5,400,000",$
71,University of Southern California,Physics & Astronomy,"$5,300,000","$5,300,000",$
72,University of Arizona,Physics,"$5,036,467","$5,036,467",$
73,Colorado School of Mines,Physics,"$4,991,026","$4,991,026",$
74,College of William and Mary,Physics,"$4,547,416","$4,547,416",$
75,University of Kentucky,Physics & Astronomy,"$4,529,427","$4,529,427",$
76,Kent State University,Chemical Physics,"$4,399,944","$4,399,944",$
77,"University of Maryland, Baltimore County",Atmospheric Physics Graduate Program,"$4,333,329","$4,333,329",$
78,"University of Illinois, Chicago",Physics,"$4,323,092","$4,323,092",$
79,"University of Nevada, Reno",Physics,"$4,224,550","$4,224,550",$
80,Old Dominion University,Physics,"$4,122,125","$3,439,875","$682,250"
81,Auburn University,Physics,"$4,071,159","$4,071,159",$
82,Virginia Tech,Physics,"$4,016,532","$4,016,532",$
83,University of Mississippi,Physics & Astronomy,"$3,971,998","$1,130,845","$2,841,153"
84,Clemson University,Physics & Astronomy,"$3,869,048","$3,869,048",$
85,"University of Massachusetts, Amherst",Physics,"$3,681,018","$3,681,018",$
86,University of Oklahoma,Physics & Astronomy,"$3,640,679","$3,640,679",$
87,Northern Illinois University,Physics,"$3,430,208","$3,430,208",$
88,Alabama A&M University,Physics,"$3,312,000","$3,162,000","$150,000"
89,University of Kansas,Physics & Astronomy,"$3,174,357","$3,174,357",$
90,Illinois Institute of Technology,Physics,"$3,074,794","$3,074,794",$
91,Colorado State University,Physics,"$3,064,000","$3,064,000",$
92,University of Connecticut,Physics,"$2,981,563","$2,981,563",$
93,Emory University,Physics,"$2,955,004","$2,955,004",$
94,George Washington University,Physics,"$2,950,000","$2,950,000",$
95,University of Alabama at Birmingham,Physics,"$2,936,320","$2,936,320",$
