,School name,Department,TOEFL requirements,PBT score,iBT score
0,Ohio State University,Physics,"yes, required *",650,79
1,Cornell University,Physics,"yes, required *",620,105
2,Columbia University,Department of Applied Physics and Applied Mathematics,"yes, required *",619,100
3,"University of Illinois, Urbana-Champaign",Physics,"yes, required *",610,102
4,Bryn Mawr College,Physics,"yes, required",600,100
5,Colorado State University,Physics,"yes, required",600,100
6,Columbia University,Physics,"yes, required",600,100
7,Drexel University,Physics,"yes, required *",600,100
8,George Washington University,Physics,"yes, required",600,100
9,Georgetown University,Physics,"yes, required",600,100
10,Rensselaer Polytechnic Institute,"Physics, Applied Physics, Astronomy","yes, required *",600,100
11,"State University of New York (SUNY), Albany",Physics,"yes, required *",600,100
12,University of Delaware,Physics & Astronomy,"yes, required *",600,100
13,University of Notre Dame,Physics,"yes, required *",600,100
14,University of Oklahoma,Physics & Astronomy,"yes, required *",600,100
15,University of Southern California,Physics & Astronomy,"yes, required",600,100
16,University of Wisconsin,Medical Physics Program,"yes, required",600,100
17,Rice University,Physics & Astronomy,"yes, required *",600,90
18,Rice University,Smalley-Curl Institute,"yes, required *",600,90
19,"State University of New York (SUNY), Stony Brook",Physics & Astronomy,"yes, required *",600,90
20,University of Virginia,Physics,"yes, required *",600,90
21,University of Oregon,Physics,"yes, required *",600,88
22,Boston University,Physics,"yes, required *",600,84
23,"Montana State University, Bozeman",Physics,"yes, required *",600,80
24,University of Arizona,Optical Sciences,"yes, required *",600,79
25,Ohio University,Physics and Astronomy,"yes, required",590,95
26,"University of North Carolina, Chapel Hill",Physics & Astronomy,"yes, required",590,95
27,Montana Tech of the University of Montana,Materials Science PhD Program,"yes, required *",580,92
28,University of Maine,Physics and Astronomy,"yes, required",580,92
29,"University of Wisconsin, Madison",Physics,"yes, required",580,92
30,Brown University,Physics,"yes, required *",577,90
31,Case Western Reserve University,Physics,"yes, required *",577,90
32,Northwestern University,Physics & Astronomy,"yes, required",577,90
33,"University of Massachusetts, Amherst",Physics,"yes, required",577,90
34,University of Vermont,Physics,"yes, required *",577,90
35,Washington University in St. Louis,Physics,"yes, required *",577,90
36,Wake Forest University,Physics,"yes, required *",575,79
37,Clemson University,Physics & Astronomy,"yes, required",570,90
38,"University of California, Berkeley",Physics,"yes, required *",570,90
39,George Mason University,Physical Sciences,"yes, required *",570,88
40,Michigan Technological University,Physics,"yes, required *",570,88
41,Vanderbilt University,Physics & Astronomy,"yes, required",570,88
42,Missouri University of Science & Technology,Physics,"yes, required",570,80
43,University of South Carolina,Physics & Astronomy,"yes, required *",570,80
